City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Gravdal,92,NO,1547266800,93,59.79,5.78,35.6,16.11
Nome,90,US,1547267700,86,30.04,-94.42,57.92,9.17
Berlevag,88,NO,1547269037,100,70.86,29.09,31.88,15.68
Fare,100,PF,1547269038,98,-16.7,-151.02,83.63,17.02
Znamenskoye,44,RU,1547269040,59,57.13,73.82,-6.37,3.27
Silver City,1,US,1547267700,90,32.77,-108.28,31.82,6.93
Inirida,0,CO,1547269042,92,3.87,-67.92,72.56,1.81
Hillsborough,90,US,1547268420,93,37.57,-122.38,60.08,7.52
Ekibastuz,32,KZ,1547269044,78,51.72,75.32,-3.94,7.52
Okha,0,RU,1547269045,85,53.59,142.95,7.4,16.13
Sovetskiy,64,RU,1547269047,83,56.76,48.47,9.11,9.75
Coahuayana,8,MX,1547269048,82,18.62,-100.35,55.01,2.15
Adrar,0,DZ,1547265600,48,27.87,-0.29,39.2,9.17
Novovoronezh,90,RU,1547267400,92,51.31,39.22,17.6,6.71
High Level,40,CA,1547265600,92,58.52,-117.13,6.8,5.84
Vangaindrano,88,MG,1547269052,98,-23.35,47.6,77.15,3.27
Boguchany,48,RU,1547269053,57,58.38,97.46,-1.78,3.6
Bajil,0,ES,1547269054,81,38.23,-2.07,18.02,2.71
Avanigadda,40,IN,1547267400,74,16.02,80.92,78.8,4.7
Lakshmeshwar,0,IN,1547265600,49,15.13,75.47,69.8,9.75
Harper,90,US,1547268660,90,30.3,-99.24,55.94,4.7
Tautira,90,PF,1547267400,74,-17.73,-149.15,84.2,14.99
Shelby,1,US,1547265360,58,48.51,-111.86,30.02,3.38
Kendari,48,ID,1547269061,100,-3.99,122.52,79.22,4.05
Takhtamygda,76,RU,1547269062,66,54.1,123.57,-5.02,3.49
Mago,0,RU,1547269063,67,53.27,140.15,-0.79,2.37
Bonthe,0,SL,1547269065,89,7.53,-12.5,78.05,4.5
Mnogovershinnyy,0,RU,1547269066,70,53.94,139.92,-1.96,2.37
Stromness,90,CA,1547265600,73,42.87,-79.55,19.4,2.24
La Union,24,GT,1547269068,94,14.97,-89.29,57.08,1.59
San Quintin,8,PH,1547269069,56,17.54,120.52,82.46,4.16
Aksarka,64,RU,1547269070,75,66.56,67.8,-11.41,15.35
Urucara,36,BR,1547269072,99,-2.54,-57.76,71.03,2.93
Guadalupe y Calvo,0,MX,1547269073,79,26.09,-106.96,32.78,1.92
Bezhetsk,76,RU,1547269074,85,57.78,36.69,14.87,13.0
Wahiawa,40,US,1547265420,63,21.5,-158.02,78.08,5.82
Tias,0,ES,1547267400,72,28.96,-13.65,62.6,8.05
Yenangyaung,0,MM,1547269078,71,20.46,94.87,78.86,6.06
Reforma,0,MX,1547269079,79,24.02,-104.65,41.69,4.27
Traverse City,90,US,1547268480,85,44.76,-85.62,24.44,3.36
Kahului,90,US,1547267940,100,20.89,-156.47,78.08,4.7
Camacha,75,PT,1547265600,59,33.08,-16.33,62.6,14.99
Ostrovnoy,88,RU,1547269084,88,68.05,39.51,22.88,9.98
Cedar City,1,US,1547265180,88,37.68,-113.06,28.04,2.26
Pedernales,92,EC,1547269086,97,0.07,-80.05,70.94,3.15
Corralillo,0,CU,1547268834,100,22.98,-80.59,64.73,8.19
San Javier,0,ES,1547267400,100,37.81,-0.83,37.4,5.82
Tuatapere,0,NZ,1547269090,79,-46.13,167.69,60.14,8.41
Sobolevo,76,RU,1547269091,88,54.43,31.9,12.71,10.2
Luang Prabang,90,LA,1547265600,78,19.89,102.14,73.4,2.24
The Valley,20,AI,1547265600,83,18.22,-63.06,75.2,3.36
Puri,20,ID,1547267400,70,-7.54,112.45,89.6,9.17
Long Eaton,90,GB,1547266800,87,52.9,-1.27,48.2,14.99
Kibala,0,TD,1547265600,49,9.11,18.35,69.8,4.7
Saint-Augustin,90,FR,1547267400,93,44.83,-0.61,41.0,4.7
Plettenberg Bay,24,ZA,1547269099,100,-34.05,23.37,64.46,14.0
Broome,56,GB,1547267160,87,52.47,1.45,45.14,11.41
Divnogorsk,44,RU,1547267400,76,55.96,92.38,-5.81,2.93
Tiarei,90,PF,1547267400,74,-17.53,-149.33,84.2,14.99
Biryusinsk,48,RU,1547269103,64,55.96,97.82,2.81,3.15
Khalkhal,44,IR,1547269105,45,37.62,48.53,27.92,2.93
Lancaster,1,US,1547267700,57,40.04,-76.31,26.06,5.39
Puerto Carreno,76,CO,1547269107,77,6.19,-67.49,72.11,4.94
Deder,0,ET,1547269108,39,9.31,41.44,65.9,4.16
Paddhari,0,IN,1547269109,74,22.44,70.6,72.2,5.17
Ancud,90,CL,1547265600,100,-41.87,-73.83,53.6,2.24
Jacareacanga,48,BR,1547269111,97,-6.22,-57.76,70.94,2.15
Lagunas,56,PE,1547269113,98,-5.23,-75.68,72.74,2.15
Nabire,64,ID,1547269114,91,-3.36,135.5,75.71,1.92
Abu Dhabi,40,AE,1547265600,68,24.47,54.37,66.2,4.7
Sakaiminato,75,JP,1547265600,49,35.55,133.23,48.2,9.17
Bratsk,36,RU,1547267400,83,56.15,101.63,-7.61,6.71
Dubbo,0,AU,1547267400,19,-32.25,148.6,98.6,9.17
Chernoistochinsk,12,RU,1547269119,84,57.74,59.87,6.77,5.39
Hay River,90,CA,1547265720,84,60.82,-115.79,6.8,3.36
Eunice,75,US,1547268780,77,30.49,-92.42,53.6,8.05
Gizo,0,IL,1547266800,81,31.8,34.94,48.2,2.24
Porto de Moz,80,BR,1547269124,97,-1.75,-52.24,74.45,3.04
Salinas,90,US,1547267400,87,36.67,-121.66,57.2,4.7
Hualmay,12,PE,1547269126,94,-11.1,-77.61,63.29,5.61
Maragogi,92,BR,1547269127,100,-9.01,-35.22,73.82,5.5
Cururupu,92,BR,1547269129,100,-1.82,-44.87,73.82,5.17
Pauini,76,BR,1547269130,98,-7.71,-67.0,72.11,3.38
Rio Grande,100,BR,1547269131,93,-32.03,-52.1,73.1,11.99
Los Llanos de Aridane,90,ES,1547267400,63,28.66,-17.92,62.6,5.82
Barranca,8,PE,1547269133,100,-10.75,-77.76,71.3,13.33
Saint-Georges,48,CA,1547269134,55,46.12,-70.67,3.08,9.64
Mayo,90,CA,1547265600,75,63.59,-135.9,-18.41,2.24
Grand-Santi,68,GF,1547269137,89,4.27,-54.38,73.91,2.48
Siocon,44,PH,1547269138,90,11.03,124.04,83.18,7.85
Baykit,44,RU,1547269139,45,61.68,96.39,-15.91,3.15
Chubbuck,90,US,1547265180,85,42.93,-112.47,32.0,6.93
Havelock,1,US,1547265480,78,34.88,-76.9,35.96,4.7
Maniitsoq,0,GL,1547269142,100,65.42,-52.9,6.59,7.63
Brae,92,GB,1547266800,81,60.4,-1.35,46.4,26.4
Paita,20,PE,1547269145,75,-5.09,-81.11,73.28,7.74
Ijuin,75,JP,1547267520,87,31.62,130.4,55.4,6.93
Luderitz,32,NA,1547269148,86,-26.65,15.16,59.33,2.71
Nanga Eboko,8,CM,1547269149,79,4.68,12.37,64.55,3.38
Launceston,8,AU,1547267400,13,-41.43,147.14,78.8,6.93
Namatanai,12,PG,1547269151,94,-3.66,152.44,85.34,16.13
Saint-Joseph,0,FR,1547267400,74,43.56,6.97,39.2,4.7
Touros,40,BR,1547265600,83,-5.2,-35.46,77.0,4.7
Sosnovo-Ozerskoye,0,RU,1547269155,71,52.53,111.54,6.41,10.98
Tabas,0,IR,1547265600,56,33.6,56.92,32.0,2.24
Santiago,0,CL,1547265600,59,-33.44,-70.65,60.8,8.05
Dunmore Town,32,BS,1547269158,100,25.5,-76.65,72.56,16.02
Batsfjord,88,NO,1547269160,100,70.63,29.72,36.56,21.94
Walvis Bay,20,NA,1547265600,87,-22.95,14.51,59.0,2.24
Moyale,0,ET,1547269162,30,3.52,39.05,75.08,13.0
Necochea,0,AR,1547269163,74,-38.55,-58.74,57.89,11.1
Kisangani,12,CD,1547269164,99,0.52,25.21,71.21,3.83
Ocampo,92,PH,1547269165,100,13.56,123.37,75.26,12.88
Buala,64,SB,1547269166,96,-8.15,159.59,82.28,5.39
Norwich,64,GB,1547267160,87,52.63,1.29,45.14,11.41
Fort Dodge,90,US,1547268900,100,42.5,-94.17,32.0,5.82
Maceio,0,BR,1547265600,88,-9.67,-35.74,71.6,3.36
Shache,76,CN,1547269171,64,38.42,77.24,26.93,4.61
Rameshki,80,RU,1547269172,85,57.35,36.05,16.13,13.11
Neuquen,0,AR,1547265600,20,-38.95,-68.06,68.0,4.7
Tuy Hoa,92,VN,1547269174,93,13.08,109.3,76.34,13.56
Flinders,0,AU,1547269176,37,-34.58,150.85,90.65,0.58
Pemba,75,MZ,1547265600,83,-12.97,40.52,80.6,13.87
Alekseyevsk,12,RU,1547269178,61,57.84,108.35,-3.22,5.73
Mangla,88,IN,1547269179,72,32.54,76.11,40.07,1.59
Sao Miguel do Araguaia,48,BR,1547269180,95,-13.28,-50.16,71.21,2.93
Aykhal,24,RU,1547269181,31,65.95,111.51,-22.48,6.17
Gornyak,64,KZ,1547269182,87,51.0,81.46,6.23,7.29
Sol-Iletsk,92,RU,1547269183,87,51.16,55.0,17.66,17.47
Beisfjord,80,NO,1547266800,86,68.38,17.6,28.4,12.75
Antigonish,90,CA,1547266140,78,45.62,-61.99,17.6,16.11
Camacari,40,BR,1547265600,69,-12.7,-38.32,82.4,9.17
Stykkisholmur,32,IS,1547269188,100,65.08,-22.73,32.78,12.44
Bambanglipuro,64,ID,1547269189,77,-7.95,110.28,85.43,7.18
Vasterhaninge,8,SE,1547266800,66,59.12,18.1,32.0,8.05
Ust-Koksa,88,RU,1547269191,68,50.27,85.62,14.78,3.94
Pistsovo,90,RU,1547267400,85,57.18,40.53,14.0,6.71
Koson,90,UZ,1547267400,93,39.04,65.59,37.4,4.7
Argelia,40,CO,1547265600,82,4.73,-76.12,68.0,3.36
Alofi,0,NU,1547265600,69,-19.06,-169.92,82.4,17.22
Kondopoga,44,RU,1547265600,92,62.21,34.27,30.2,8.95
Morrinhos,64,BR,1547269198,97,-3.23,-40.13,73.64,0.92
Davila,75,PH,1547265600,78,18.47,120.58,82.4,8.05
Rawson,80,AR,1547269201,34,-43.3,-65.11,70.31,16.69
Bucerias,75,MX,1547264760,100,20.76,-105.33,75.2,2.24
Nyurba,20,RU,1547269208,42,63.29,118.35,-13.84,5.28
Malmesbury,90,GB,1547266800,87,51.58,-2.1,46.4,11.41
Goba,0,ET,1547269210,24,7.01,39.97,59.78,3.15
Ilhabela,8,BR,1547269212,100,-23.78,-45.36,79.31,4.72
Byron Bay,0,AU,1547267400,54,-28.65,153.62,89.6,13.87
Matara,92,PE,1547269215,98,-13.74,-72.9,43.76,1.48
Karymskoye,0,RU,1547269216,70,51.62,114.34,7.58,4.72
Haines Junction,0,CA,1547269217,0,60.75,-137.51,-38.05,1.7
